id,dan,mesec,leto
20002,1,10,2014
20003,1,10,2014
20004,1,10,2014
20005,2,10,2014
20006,3,10,2014
20007,3,10,2014
20008,4,10,2014
20009,6,10,2014
20010,6,10,2014
20011,6,10,2014
20012,7,10,2014
20013,7,10,2014
20014,8,10,2014
20015,8,10,2014
20016,9,10,2014
20017,9,10,2014
20018,7,10,2014
20019,8,10,2014
20020,10,10,2014
20021,10,10,2014
20022,10,10,2014
20023,11,10,2014
20024,11,10,2014
20025,13,10,2014
20026,13,10,2014
20027,13,10,2014
20028,14,10,2014
20029,14,10,2014
20030,15,10,2014
20031,15,10,2014
20032,15,10,2014
20033,16,10,2014
20034,16,10,2014
20035,16,10,2014
20036,20,10,2014
20037,20,10,2014
20038,20,10,2014
20039,21,10,2014
20040,21,10,2014
20041,21,10,2014
20043,24,10,2014
20044,24,10,2014
20045,24,10,2014
20046,24,10,2014
20047,25,10,2014
20048,25,10,2014
20049,25,10,2014
20051,27,10,2014
20052,27,10,2014
20053,27,10,2014
20054,28,10,2014
20055,28,10,2014
20056,28,10,2014
20057,29,10,2014
20058,29,10,2014
20059,30,10,2014
20060,30,10,2014
20061,30,10,2014
20062,31,10,2014
20063,3,11,2014
20064,3,11,2014
20065,3,11,2014
20066,4,11,2014
20067,4,11,2014
20068,5,11,2014
20069,6,11,2014
20070,10,11,2014
20071,10,11,2014
20072,10,11,2014
20073,11,11,2014
20074,11,11,2014
20075,11,11,2014
20076,12,11,2014
20077,12,11,2014
20078,12,11,2014
20079,13,11,2014
20080,13,11,2014
20081,13,11,2014
20082,14,11,2014
20083,17,11,2014
20084,17,11,2014
20085,18,11,2014
20086,17,11,2014
20087,18,11,2014
20088,17,11,2014
20089,19,11,2014
20090,19,11,2014
20091,20,11,2014
20092,21,11,2014
20093,24,11,2014
20094,24,11,2014
20095,25,11,2014
20096,25,11,2014
20097,26,11,2014
20098,26,11,2014
20099,26,11,2014
20101,27,11,2014
20102,27,11,2014
20103,1,12,2014
20104,2,12,2014
20105,2,12,2014
20106,2,12,2014
20107,2,12,2014
20108,3,12,2014
20109,3,12,2014
20110,3,12,2014
20111,3,12,2014
20112,4,12,2014
20113,4,12,2014
20114,4,12,2014
20115,5,12,2014
20116,5,12,2014
20117,6,12,2014
20118,6,12,2014
20119,6,12,2014
20120,7,12,2014
20121,7,12,2014
20122,7,12,2014
20123,8,12,2014
20124,8,12,2014
20125,9,12,2014
20126,11,12,2014
20127,11,12,2014
20128,11,12,2014
20129,12,12,2014
20130,12,12,2014
20131,15,12,2014
20132,15,12,2014
20133,15,12,2014
20134,16,12,2014
20135,16,12,2014
20136,16,12,2014
20137,16,12,2014
20138,16,12,2014
20139,17,12,2014
20140,17,12,2014
20141,17,12,2014
20142,18,12,2014
20143,18,12,2014
20144,18,12,2014
20145,19,12,2014
20146,22,12,2014
20147,22,12,2014
20148,22,12,2014
20149,23,12,2014
20150,23,12,2014
20151,23,12,2014
20152,24,12,2014
20153,24,12,2014
20154,24,12,2014
20155,25,12,2014
20156,25,12,2014
20157,26,12,2014
20159,27,12,2014
20160,27,12,2014
20161,27,12,2014
20162,29,12,2014
20163,29,12,2014
20164,29,12,2014
20165,29,12,2014
20166,30,12,2014
20167,2,1,2015
20168,30,12,2014
20169,30,12,2014
20170,30,12,2014
20171,2,1,2015
20172,2,1,2015
20173,3,1,2015
20174,3,1,2015
20175,3,1,2015
20176,3,1,2015
