id,ime_recepta
20002,Kremšnita a la Ines
20003,Hruškočoki
20004,Torta pistacija - hruška
20005,Goveja enolončnica s fižolom in mulato čilijem
20006,Boranja »ala fasulas«
20007,Hitri puranji polpeti
20008,Makaroni s tuno in olivami
20009,"Štajersko ""tenstano"" kislo zelje 
20010,Pita s porom in hokaido bučo
20011,Jelenja pečenka
20012,Brancin v soli malo drugače
20013,Enostavno listnato testo
20014,Juha "Včeraj smo imeli piknik" 
20015,Svinjska ribica z jabolčno - parmezanovo sredico
20016,Oslič na lešo s paradižnikovo "šalšo" 
20017,Krompirjevo - koruzna enolončnica z žličniki
20018,Sipa na način lene gospodinje
20019,"Koroški" žganci 
20020,Pereci
20021,Kremna brokolijeva juha s slanimi hrustljavčki
20022,"Kumaričin "zos" 
20023,Zdravo sladkanje
20024,Mačje oči
20025,Polpeti iz ohrovta
20026,Jabolčna pita
20027,Domači kavbojski fižol
20028,Kostanjeva juha
20029,Praznični piškoti
20030,Tenstane bučke
20031,Jesenski navihančki
20032,Breskvice
20033,Čokoladno malinova torta
20034,Moto keksi
20035,Mesne kroglice v bešamelu - đulbastije
20036,Zmajeva potica
20037,Grozdna marmelada
20038,Klobučki
20039,Mini kolački iz mikrovalovke
20040,Črno-bele rezine
20041,Namaz iz sardin in fižola
20043,Testenine brez OH v omaki
20044,Torta piškotek (Cookies torta)
20045,Žar krompir iz pečice
20046,Čokoladne kocke
20047,Hitra jabolčna torta
20048,Grški tzatziki
20049,Krompirjevi kroketi presenečenja
20051,Kruh z gorgonzolo in mletimi orehi
20052,Mali zeleni - mafini
20053,Kruhova skodelica 
20054,Moj Esich Fleisch
20055,Palamida z zelenjavo
20056,Prosena kaša s pudingom
20057,Ekstremno dobra torta
20058,Pikantna čili omaka
20059,Začinjena čili omaka
20060,Bosanski lokum
20061,Kokos kroglice s srcem
20062,Bel kokosov pornič
20063,Vaflji
20064,Bučkina pita
20065,Sataraš
20066,Beli čokoladni liker - iz bele čokolade!
20067,Zelena bučna tortica
20068,Suhe slive v slanini
20069,Bučne žemljice
