id,navodilo
20002,""Zamrznjeno listnato testo odtajamo in razvaljamo; da dobimo velikost pekaèa. Testeno plošèo položimo v pekaè; ki smo ga prej oplaknili z mrzlo vodo. Speèemo v ogreti peèici. V posodo pristavimo in zavremo mleko. V kotlièku penasto umešamo 170 g sladkorja in rumenjake. Kremi z rumenjaki dodamo malo vroèega mleka; vanilijev sladkor; burbonsko vanilijo; limonin sok in rum; potem med stepanjem dodamo moko; ki smo jo  prej zmešali z gustinom.Moko z metlico dobro zmešamo. Vrelo mleko prelijemo poèasi v kotlièek z rumenjaki in sladkorjem. Kotlièek postavimo na posodo; kjer vre voda; med vretjem nenehno stepamo in kuhamo še 15 minut; da dobimo gosto kremo. Beljake in ostali sladkor stepemo v èvrst sneg; ki ga primešamo jajèni kremi. Peèeno testo razpolovimo. Eno polovico postavimo na pekaè; nanj pa nalijemo pripravljeno kremo; ki jo enakomerno porazdelimo po pekaèu. Pustimo (najboljše èez noè); da se krema strdi. Sladko smetano èvrsto stepemo; nato jo namažemo po ohlajeni; strjeni kremi. Kremšnite narežemo približno v velikosti 8 krat 8 cm; na koncu jih potresemo s sladkorjem v prahu."            
20003,"Peèico segrejemo na 175 stopinj. Hruške operemo; olupimo in narežemo na kocke; velike  približno 1x1 cm; dodamo naribano (nasekljano) temno èokolado. Jajca; sladkor in olje penasto stepemo. V majhnem lonèku segrejemo mleko; margarino; kakav; rum in olje le toliko; da se margarina raztopi in je tekoèina gladka. V drugi posodi  zmešamo obe moki in pecilni prašek. Kakavovo mleko nato vlijemo v jajèno zmes; premešamo; nato pa postopoma dodajamo moko. Maso nato napolnimo v modelèke za maffine. Najprej vlijemo veliko žlico mase v modelèek; na vrh dodamo žlico hrušk s èokolado in prekrijemo z manjšo žlico mase(vsaj toliko; da so prekrite hruške). Peèemo 25 minut."
20004,"Biskvit:beljake stepemo v èvrst sneg. V drugi posodi kremasto stepamo rumenjake in sladkor; dokler ne nastane gladka; svetla zmes. Dodamo ji moko; pistacije in naribano limonino lupinico. To zmes nato vmešamo v beljake. Peèemo približno 15-30 minut (presodimo; kdaj je peèen) na 180 stopinjah. Ko je peèen; ga ohladimo in prerežemo na pol. Hruškov nadev: hruške z limoninim sokom zmeljemo v kašo; želatino namoèimo v vodi (glej navodila na vreèki). Kašo; 1 dl sladke smetane (ne stepene); kislo smetano in sladkor zmešamo v gladko maso. Nekaj žlic jo odvzamemo in v manjši posodici na ognju  v njej raztopimo želatino. Vse skupaj primešamo ostali kaši in dodamo še preostalo stepeno smetano ter postavimo v hladilnik. Pistacijeva krema: najprej zavremo smetano in ji dodamo aromo. Pustimo; da se ohladi. Ohlajeni kremi nato dodamo sladkor in mascarpone sir ter stepamo; dokler ne dobimo lepe kremaste smetane (dovolj trdna za mazanje na torto). Èe imamo s tem težave; lahko dodamo vreèko želatine. Zlaganje in okrasitev: v model za torto položimo eno plast biskvita in ga rahlo navlažimo s sokom. Nato vlijemo polovico hruškovega nadeva in položimo drugi biskvit; ki ga rahlo navlažimo. Namažemo s pistacijevo kremo; položimo tretji biskvit in vlijemo še drugo polovico hruškovega nadeva. Pokrijemo z zadnjim biskvitom; zavijemo v folijo in damo v hladilnik za vsaj 4 ure. Ko se kreme strdijo; lahko zaènemo z okraševanjem."
20005,"Posušene èilije (chipotle in mulato) obrišemo z vlažno krpo; po dolgem razrežemo s škarjami in jim odstranimo peclje in semena. Zavremo 3 dl vode; odstavimo in jih približno pol ure namakamo v vroèi vodi. Odcedimo (vodo prihranimo) in rehidrirane èilije narežemo na košèke. Paradižnik za eno minuto potopimo v krop; ga olupimo; mu odstranimo semena in ga narežemo na kockice. Polovico rdeèega fižola pretlaèimo z vilicami (to polovico bomo uporabili za zgostitev). Èesen drobno sesekljamo. Govedino narežemo na majhne košèke. Rdeèo èebulo narežemo na listièe. V lonec na segreto olje damo èebulo in jo pražimo; da ovene. Dodamo meso in rdeèo mleto papriko; premešamo ter pražimo; da meso spusti svoj sok. Solimo; popramo; dodamo èesen; lovorjev list; timijan; kumin; mehiški origano; èili; cela fižolova zrna in pretlaèen fižol. Zalijemo z vinom in z vodo; v kateri smo namakali èilije. Prilijemo še toliko goveje juhe ali vode; da je vsebina lonca pokrita; premešamo in na pol pokrito kuhamo na zmerni temperaturi; dokler ni meso mehko. Obèasno premešamo in po potrebi dodamo vodo. Serviramo z žlico kisle smetane in na kolobarje narezanim svežim jalapeno èilijem."
20006,"Meso in èebulo narežemo na male košèke; 1 korenèka na drobno naribamo; drugo polovico narežemo na manjše krhlje. Èebulo prepražimo na olju; dodamo meso in prepražimo. Dodamo stisnjen èesen in nariban korenèek in podušimo kakšno minuto. Dodamo olupljene paradižnike; katere smo predhodno narezali na manjše košèke. Omako premešamo in pustimo nekaj èasa; da se kuha. Zalijemo z jušno osnovo; dodamo zaèimbe in papriko in kuhamo cca. 1 uro; da se korenèek in èebula pokuhata; meso pa nekoliko zmehèa. Kuhamo na srednji temperaturi in obèasno premešamo. Nato dodamo stroèji fižol in preostanek korenèka in kuhamo cca. 20 do 30 minut oz. toliko èasa; da se stroèji fižol in korenèek zmehèata. Na koncu dodamo kislo smetano in vse skupaj premešamo. Postrežemo s pire krompirjem."
20007,"V dobrem sekljalniku zmešamo vse navedene sestavine; razen parmezana. Drobtine dodajamo postopoma; da dobimo gnetljivo; ampak mehko maso. Masi roèno primešamo nariban parmezan in še enkrat pregnetemo. Èe je masa pregosta; dodamo še eno jajce; èe je prerahla; dodamo še malo drobtin. Oblikujemo polpete po želji (debelina 1/2 cm). Ocvremo jih v olju do zlate barve."
20008,"Na olivnem olju prepražimo drobno sesekljano èebulo; da postekleni.Dodamo na drobne kocke narezan svež paradižnik in na drobno narezano svežo papriko. Malo popražimo ter dodamo sol; timijan in malo origana. Nato zalijemo z 0;25 l rdeèega vina ali vode (toliko; da je dno pokrito) in poèasi pokrito dušimo 30 minut. Na koncu ugasnemo ogenj in dodamo tuno ter na tanke kolobarje narezane olive. Makarone stresemo k omaki in premešamo. Zraven postrežemo še solato. Pa dober tek."
20009,"Zelje stresemo v posodo (èe je prekislo; ga lahko speremo z eno vodo - odcedimo); dodamo lovorjev list; kumino; cel poper; strt èesen; sol. Zelje kuhamo posebej toliko èasa; da je kuhano oz. okoli 1 ure. Posebej v kozici na malo olja pražimo drobno sesekljani èebuli tako dolgo; da lepo porjavi. Prepraženo èebulo stresemo v posodo in še malo pokuhamo (15-20 minut). V zmes dodamo še eno konzervo rjavega fižola. Tik pred koncem v posebni posodici premešamo vodo in ostro moko ( podmet; ostra moka ne dela grudic) in ga dodamo v zmes z zeljem; toliko; da se lepo zgosti. Po okusu solimo in popramo. Sam uporabljam naveden recept kot prikuho mesu; peèenicam; krvavicam......."
20010,"Iz sestavin za testo pripravimo krhko testo; oblikujemo ga v žogo; ovijemo v živilsko folijo in postavimo za pol ure v hladilnik.Nato por operemo; narežemo na kolobarje in ga prepražimo na olivnem olju toliko; da zadiši. Tudi buèo narežemo na manjše kvadratke in jo enako prepražimo. Vse skupaj damo v eno plastièno posodo; kjer dodamo še ostale sestavine in dobro premešamo; da nastane homogena zmes.Peèemo cca. 40 minut na 160 stopinj."
20011,"File v veliki posodi; ki jo bomo lahko dali v peèico; na vroèem olju z vseh strani dobro opeèemo; potem ga vzamemo iz posode; z vseh strani solimo in popramo in damo na stran. Èebulo nasekljamo; korenje in zeleno pa narežemo na kocke ter vse skupaj na kratko prepražimo na mašèobi; ki je ostala pri peèenju fileja. Potem dodamo in na kratko popražimo še olupljena cela stroka èesna. Dodamo sladkor; poèakamo; da karamelizira; potem dodamo še mezgo in vse skupaj postopoma zalivamo z vinom. Kuhamo približno 5 minut. Prilijemo govejo juho in zavremo. Meso položimo nazaj v posodo in vse skupaj pokrito približno 2 uri peèemo v peèici pri 170 °C. Po približno dveh urah meso vzamemo iz posode in ga do serviranja pustimo poèivati na toplem. Posodo z zelenjavo prestavimo nazaj na štedilnik; kjer jo bomo dokonèali. Omaki z zelenjavo dodamo 5 brinovih jagod; 3 zrna popra in 2 lovorjeva lista ter jo kuhamo še 15 minut. Omako precedimo.Pri tem zelenjavo dobro pretlaèimo skozi cedilo. Na koncu k omaki dodamo še brusnièni džem in jo po okusu oz. potrebi dosolimo in popramo."
