id,ime_recepta,vrsta_jedi,dan,mesec,leto,cas_priprave
001,Hladna avokadova juha,juhe in zakuhe: hladne juhe,16,6,1998,ni doloèen
002,Bolgarska hladna juha,juhe in zakuhe: hladne juhe,16,6,1998,ni doloèen
003,Baklava,sladice: ostalo,7,7,2000,ni doloèen
010,Buèna juha,juhe in zakuhe: zelenjavne juhe,16,6,1998,ni doloèen
011,Èebulna juha,juhe in zakuhe: zelenjavne juhe,4,9,2000,ni doloèen
012,Èesnova kremna juha,juhe in zakuhe: zelenjavne juhe,19,7,2000,ni doloèen
013,Goveja juha,juhe in zakuhe: mesne juhe,16,6,1998,ni doloèen
014,Hladna paradižnikova juha,juhe in zakuhe: hladne juhe,19,7,1999,ni doloèen
015,Juha iz korenja; marelic in ingverja,juhe in zakuhe: zelenjavne juhe,7,7,1998,ni doloèen
016,Juha kvak,juhe in zakuhe: mesne juhe,29,6,1998,ni doloèen
017,Juha omame,juhe in zakuhe: ostale juhe,24,2,1999,ni doloèen
018,Juha za vroèe dni,juhe in zakuhe: hladne juhe,19,7,1999,ni doloèen
019,Kisla juha,juhe in zakuhe: mesne juhe,13,5,1999,ni doloèen
020,Kislo sladka juha,juhe in zakuhe: mesne juhe,16,6,1998,ni doloèen
021,Kremna juha,juhe in zakuhe: ostale juhe,16,6,1998,ni doloèen
022,Poletna zelenjavna juha,enolonènice,19,6,1999,ni doloèen
023,Prekmurski bograè,enolonènice,11,4,1999,ni doloèen
024,Primorska enolonènica,enolonènice,24,2,1999,ni doloèen
025,Rahlo pekoèa juha,juhe in zakuhe: ostale juhe,16,6,1998,ni doloèen
026,Zdrobova juha,juhe in zakuhe: jušne zakuhe,25,10,2000,ni doloèen
027,Avokado z rakci,predjedi: hladne,24,12,1999,ni doloèen
028,Bosanski lonec,mesne jedi: mešano meso,30,10,1999,ni doloèen
029,Carpacio,predjedi: hladne,26,6,1998,ni doloèen
030,Chilli con carne,mesne jedi: sesekljano meso,20,12,1999,ni doloèen
031,Èebularji,mesne jedi: sesekljano meso,5,8,1998,ni doloèen
032,Èesnova govedina,mesne jedi: govedina,17,1,2000,ni doloèen
033,Djuveè z rižem,mesne jedi: svinjina,13,4,1999,ni doloèen
034,Dušena pišèanèja bedra,mesne jedi: perutnina,22,11,1998,ni doloèen
035,Goveji golaž,mesne jedi: govedina,26,4,1999,ni doloèen
036,Goveji zrezki z zelenjavo,mesne jedi: govedina,17,3,1999,ni doloèen
037,Havajski ražnjièi,mesne jedi: govedina,17,5,1998,ni doloèen
038,Hladna goveja peèenka,mesne jedi: govedina,20,12,1997,ni doloèen
039,Jajènik z mesnimi ostanki,mesne jedi: ostalo,3,12,1998,ni doloèen
040,Bakalar,predjedi: tople,13,4,1999,ni doloèen
041,Datelji s sirom,predjedi: hladne,27,12,1999,ni doloèen
042,Grapefruit's cocktail,napitki: alkoholni,24,6,1999,ni doloèen
043,Jajca s curryjevo majonezo in riževo solato,jajène jedi: ostalo,28,12,1998,ni doloèen
044,Liptaverski namaz,predjedi: hladne,16,2,2000,ni doloèen
045,Nadevana jajca,jajène jedi: ostalo,3,3,1999,ni doloèen
046,Nadevane olive,predjedi: tople,7,8,2000,ni doloèen
047,Nadevani paradižniki,predjedi: tople,3,3,1999,ni doloèen
048,Okus po kumaricah in jajcih,zelenjavne jedi,27,9,1999,ni doloèen
049,Sirove kroglice,sirove jedi,27,12,1999,ni doloèen
050,Skutina pašteta,predjedi: hladne,3,3,1999,ni doloèen
052,Skutni njoki po gurmansko,predjedi: tople,30,3,1999,ni doloèen
053,Sladka šunka,predjedi: hladne,20,12,1997,ni doloèen
054,Slane palèke,predjedi: tople,12,12,1999,ni doloèen
055,S tunino nadevana jajca,predjedi: hladne,3,3,1999,ni doloèen
056,Škampov cocktail,predjedi: hladne,1,7,1999,ni doloèen
057,Tunin namaz,predjedi: hladne,17,2,2000,ni doloèen
058,Zavitki iz prekajenega lososa,predjedi: hladne,24,12,1999,ni doloèen
059,Krompirjev narastek z mesom,mesne jedi: sesekljano meso,16,5,1999,ni doloèen
060,Kvašena srna s smetano,mesne jedi: divjaèina,15,5,2000,ni doloèen
061,Martinova gos ali raca,mesne jedi: perutnina,13,11,1998,ni doloèen
062,Martinova gos ali raca,mesne jedi: perutnina,2,11,1999,ni doloèen
063,Meso mlade košute,mesne jedi: divjaèina,26,6,1998,ni doloèen
064,Mesni sir,mesne jedi: mešano meso,13,3,2000,ni doloèen
065,Musaka,mesne jedi: sesekljano meso,2,10,2000,ni doloèen
066,Nadevani kotleti,mesne jedi: svinjina,24,12,1999,ni doloèen
067,Nadevan kunec,mesne jedi: ostalo,15,5,2000,ni doloèen
068,Nadevane teleèje prsi,mesne jedi: teletina,29,12,1998,ni doloèen
069,Nadevane teleèje prsi,mesne jedi: teletina,28,12,1999,ni doloèen
070,Omleta suffle po koprsko,jajène jedi: omlete,7,6,1999,ni doloèen
071,Obloženi topli kruhki,predjedi: tople,1,9,1999,ni doloèen
072,Ocvrti zajec,mesne jedi: ostalo,24,12,1999,ni doloèen
073,Peèen jagenjèek,mesne jedi: drobnica,22,4,1998,ni doloèen
074,Peèen zajec,mesne jedi: ostalo,26,6,1998,ni doloèen
075,Peèena puranova ali pišèanèja prsa,mesne jedi: perutnina,24,12,1999,ni doloèen
076,Peèena teleèja kraèa,mesne jedi: teletina,28,12,1999,ni doloèen
077,Pišèanec po kitajsko,mesne jedi: perutnina,6,11,1999,ni doloèen
078,Pišèanec v kokosu,mesne jedi: perutnina,1,2,2000,ni doloèen
079,Pišèanec v omaki,mesne jedi: perutnina,3,5,2000,ni doloèen
080,Podvarak svinina z zeljem,mesne jedi: svinjina,22,11,1998,ni doloèen
081,Polpeti - sesekljani zrezki,mesne jedi: sesekljano meso,25,1,1999,ni doloèen
082,Sesekljan polpet s skuto,mesne jedi: sesekljano meso,11,7,2000,ni doloèen
083,Popeèeni košèki mesa,mesne jedi: ostalo,20,12,1997,ni doloèen
084,Poprov zrezek,mesne jedi: govedina,22,11,1999,ni doloèen
085,Srnin golaž,mesne jedi: divjaèina,2,6,2000,ni doloèen
086,Srnin hrbet v lovski omaki,mesne jedi: divjaèina,24,9,1998,ni doloèen
087,Svinjina s pivom,mesne jedi: svinjina,22,4,1998,30 minut
088,Svinjske zarebrnice z jabolki in smetano,mesne jedi: svinjina,29,12,1998,ni doloèen
089,Svinjski file v mrežici,mesne jedi: svinjina,24,1,2000,ni doloèen
090,Svinjski zrezki v omaki,mesne jedi: svinjina,17,3,1999,ni doloèen
091,Šunka v testu,mesne jedi: svinjina,26,6,1998,ni doloèen
092,Tatarski biftek,mesne jedi: govedina,14,12,1998,ni doloèen
093,Teleèja kraèa,mesne jedi: teletina,26,9,2000,ni doloèen
094,Zagrebški zrezki,mesne jedi: svinjina,18,12,1998,ni doloèen
095,Zdrobovi zrezki,mesne jedi: sesekljano meso,25,1,1999,ni doloèen
096,Golobice na žaru,gobje jedi,26,7,1999,ni doloèen
097,Kebabe,žar,16,6,1998,ni doloèen
098,Ledvice po korejsko,žar,11,10,1999,ni doloèen
099,Nabodena jetra,žar,16,6,1998,ni doloèen
100,Radiè na žaru,žar,16,6,1998,ni doloèen
101,Zrezki na žaru,žar,26,7,1999,ni doloèen
102,Omleta iz buèk,jajène jedi: omlete,20,12,1997,ni doloèen
103,Ajdovi zvitki,priloge: ostalo,30,1,1999,ni doloèen
104,Ajdovi žganci s krompirjem,priloge: ostalo,30,1,1999,ni doloèen
105,Burek,priloge: ostalo,21,10,1999,ni doloèen
106,Cvetaèa s kislo smetano,priloge: ostalo,30,3,1999,ni doloèen
107,Dolma,priloge: ostalo,21,6,2000,ni doloèen
108,Gluhi štruklji po gorenjsko,priloge: ostalo,1,12,1998,ni doloèen
