id,sestavina
20002,zamrznjenega listnatega testa
20002,<b>Slaščičarska krema:</b>
20002,moke
20002,gustina
20002,sladkorja
20002,jajc
20002,mleka
20002,sladke smetane
20002,"sok <span class=""label-inline"">1"
20002,ruma
20002,"<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> sladkor"
20002,"zavitek burbonske <a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilije</a> (v prahu)"
20002,sladkor v prahu za posip
20003,mehkih hrušk
20003,naribane temne čokolade
20003,polnozrnate moke
20003,bele moke
20003,pecilnega praška
20003,riževega mleka
20003,"margarine + <span class=""label-inline"">20 g"
20003,kakava
20003,"ruma (brandy;...)"
20003,jajci
20003,sladkorja
20003,olja
20004,Biskvit: 2x
20004,"beljakov; <span class=""label-inline"">6"
20004,sladkorja
20004,ostre bele moke
20004,mletih popečenih pistacij (nesoljene)
20004,naribana limonina lupinica
20004,Za navlažitev: sok hruškovega kompota
20004,<b>Hruškov nadev:</b>
20004,limoninega soka
20004,kisle smetane
20004,sladke smetane
20004,sladkorja v prahu 
20004,lističev želatine
20004,hruškov kompot (250 g hruške)
20004,<b>Pistacijeva krema:</b>
20004,sira mascarpone
20004,(2) čajni žlički pistacijeve arome 
20004,sladke smetane
20004,sladkorja v prahu
20004,(želatina v prahu po potrebi)
20004,"Za okrasitev: poljubno; maslena krema"
20005,govejega mesa (pleče ali bočnik)
20005,čista goveja juha ali voda
20005,rdeče čebule
20005,olje
20005,"sol in sveže mleti črni <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
20005,zvrhano polna jušna žlica rdeče mlete paprike
20005,rdečega vina
20005,"pločevinka rdečega fižola (<span class=""label-inline"">400 g"
20005,"pločevinka koruze (<span class=""label-inline"">150 g"
20005,velik paradižnik
20005,posušeni chipotle čili
20005,posušena mulato čilija
20005,sveži jalapeno čili
20005,mehiškega origana
20005,posušenega timijana
20005,kumina
20005,lovorjev list
20005,kisla smetana
20005,sveže peteršiljevo listje
20006,rumenega stročjega fižola
20006,čebula
20006,govejega mesa
20006,velik korenček
20006,česna
20006,konzerve olupljenih paradižnikov
20006,jušne osnove
20006,čž sladke paprike
20006,šetraja
20006,jž kisle smetane
20006,"soli in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>"
20007,puranji zrezki
20007,jajci
20007,cm steblo pora
20007,manjša paprika
20007,"<a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilj</a>"
20007,olivnega olja
20007,kruhove drobtine 
20007,sol
20007,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
20007,rdeča paprika
20007,parmezana
20008,makaronov
20008,olivno olje
20008,čebula
20008,rdeče sveže  paprike
20008,sveži paradižniki
20008,oliv 
20008,veliki konzervi tune
20008,rdečega vina ali vode (približno)
20008,origano
20008,timijan
20008,sol
20009,domače kisanega zelja (lahko tudi kupljeno)
20009,lovorjevi listi 
20009,cele kumine 
20009,stroki strtega česna
20009,"cel <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> "
20009,sol 
20009,ostra moka
20009,voda 
20009,olje 
20009,majhni čebuli
20009,fižol iz konzerve
20010,<b>Krhko testo:</b>
20010,moke (kombinacije pirine + bele ali ržene + bele)
20010,masla
20010,soli
20010,jajci
20010,<b>Nadev:</b>
20010,velik por
20010,hokaido buče
20010,feta sira
20010,"skute z najmanj maščob (bolj tekoča; brez grudic)"
20010,jajca
20011,jelenovega fileja 
20011,olje
20011,čebule
20011,korenčka
20011,"<a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelene</a>"
20011,česna 
20011,sladkorja v prahu 
20011,paradižnikove mezge 
20011,rdečega vina
20011,goveje juhe
20011,brinove jagode
20011,lovorjevi listi 
20011,brusnične marmelade 
20011,sol
20011,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
20012,<b>Za peko brancina: </b>
