id,ime
1,testo
2,moka
3,škrob
4,sladkor
5,jajca
6,mleko
7,smetana
8,limona
9,rum
10,vanilija
11,hruška
12,čokolada
13,margarina
14,olje
15,kakav
16,pistacija
17,želatina
18,sir
19,čebula
20,sol
21,poper
22,paprika
23,vino
24,fižol
25,koruza
26,paradižnik
27,čili
28,origano
29,timijan
30,kumina
31,lovorjev list
32,peteršilj
33,korenje
34,česen
35,šetraj
36,por
37,drobtine
38,testenine
39,olive
40,ribe
41,zelje
42,maslo
43,buča
44,skuta
45,divjačina
46,meso
47,zelena
48,brinove jagode
49,marmelada
50,rožmarin
51,bazilika
52,krompir
53,šparglji
54,bučka
55,zdrob
56,šalotka
57,svinjina
58,ingver
59,luštrek
60,jabolka
61,kis
62,blitva
63,majaron
64,ocvirki
65,margarine/masla
66,kvas
67,brokoli
68,kumari
69,jabolki
70,banana
71,mandlji
72,prašek
73,cimet
74,jabolk
75,kostanj
76,[]
77,sezam
78,malin
79,kokosa
80,gelfix
81,ekstrakt
82,sardin
83,čebulica
84,vegete
85,sojine
86,zavojček
87,mascarponeja
88,tople
89,špinače
90,zelenjavne
91,ekstrakta
92,Gustina
93,mascarpone
94,medu
95,medu/sladkorja
96,mineralne
97,jagode
98,puding
99,pudinga
100,kremfix
101,slanine
102,čebul
103,govedina
104,riž
105,vegeta
106,topla
107,krompirjeve
108,špargljeve
109,pinjol
110,pecorina
111,melise
112,polente
113,gresa
114,leče
115,toast
116,lončka
117,gorčice
118,škroba
119,puranjega
120,šunke
121,drobnjak
122,repe
123,kompota
124,race
125,kruh
126,pivo
127,gorčica
128,korenov
129,masti
130,žemlje
131,mandarini
132,jogurt
133,zelenjavna
134,tortilje
135,orehi
136,bedri
137,borovnic
138,mozzarelle
139,koleraba
140,pomarančni
141,med
142,pecilna
143,lososa
144,limeta
145,manga
146,limeti
147,avokado
148,kapre
149,pire
150,šalotki
151,gobe
152,žafran
153,vrela
154,kurkume
155,kardamoma
156,brusnic
157,rozin
158,	sladkorja
159,vrha
160,konjaka
161,maka
162,mlasla
163,pomaranče
164,Nutele
165,banane
166,kaper
167,meta
168,koper
169,jajčevci
170,solata
171,panceta
172,parmezan
173,mete
174,marelice
175,pomaranč
176,čičerike
177,palačink
178,Ricotte
179,kompotova
180,pese
181,goveja
182,hrena
183,ananas
184,keksov
185,kvinoje
186,lignjev
187,kunca
188,pancete
189,majoneze
190,sadja
191,mrzle
192,kiviji
193,pomaranči
194,čilija
195,melona
196,ješprenja
197,graha
198,kumara
199,Testo
200,Krema
201,kave
202,Nutelle
203,mlačne
204,šampanjca
205,ricotte
206,Philadelphia sirčka
207,masla/margarine
208,sode
209,mandljevih
210,sezama
211,argove
212,pomarančnega
213,klinčki
214,mozzarele
215,motovilca
216,ajde
217,pimenta
218,marmelado
219,ješprenjčka
220,zelenjava
221,lovor
222,kuskusa
223,Biogette
224,višenj
225,hladne
226,par
227,biogette
228,vermut
229,tabasco
230,limete
231,limoni
232,mace
233,janež
234,špinača
235,ledenke
236,Masa
237,zelenjave
238,sojina
239,vranica
240,ostrigina
241,korenčki
242,začimbe
243,perutničk
244,pomarančna
245,Nutella
246,edamca
247,beljaka
248,mandljevi
249,bučki
250,piščančjega
251,grah
252,osnova
253,kuskus
254,kumarice
255,piščančji
256,banan
257,čemaža
258,kečap
259,zelišča
260,feferon/tabasco
261,mandeljnov
262,kurkuma
263,baguetta
264,hrenovka
265,melisa
266,koromač
267,več
268,romaneska
269,kakavovega
270,paradižnikova
271,limonovega
