id,kolicin,sestavina
001,2,avokada
001,4 dcl,moène jušne osnove ali vode z jušno kocko
001,1 dl,dobro stepene smetane
001,3 dl,jogurta
001,malo,nastrgane šalotke
001,1 dl,paradižnikovega soka
001,,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
001,nekaj kapljic,"tabasko omake; èe želimo pekoèe"
002,30 dag,kumar
002,1,skodela kisle smetane
002,1,majhna nastrgana èebula
002,1 strok,strtega èesna
002,1 žlièka,belega vinskega kisa
002,1,lonèek jogurta
002,3 žlice,drobno sesekljanih orehov
002,,sol po okusu
002,,"beli <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
003,1,zavitek tenkega vleèenega testa
003,,".5 kg zmletih orehov ali <a href=""https://www.kulinarika.net/recepti/zacimbe/39/mandelj/"">mandljev</a> ali lešnikov"
003,1,skodela sladkorja
003,šèepec,"zmletih <a href=""https://www.kulinarika.net/recepti/zacimbe/87/nageljnove-zbice-klincki-/"">klinèkov</a>"
003,l žlièka,"<a href=""https://www.kulinarika.net/recepti/zacimbe/16/cimet/"">cimeta</a> v prahu"
003,25 dag,stopljenega masla
003,,<b>Sestavine za sirup:</b>
003,5 dl,vode
003,2,skodeli sladkorja
003,,sok ene limone in nastrgana lupinica
003,1 žlièka,ruma
010,30 dag,olupljenih in nastrganih mladih buèk
010,1 žlica,drobno sesekljane èebule
010,1 žlica,kuhanega masla
010,1 žlica,moke
010,4 dl,paradižnikovega soka
010,5 dl,vode ali juhe iz kocke
010,1 žlièka,drobno sesekljanega koprca
010,,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
010,,kisla smetana po okusu
011,40 dag,"èebule; narezane na kolobarje"
011,1 žlica,masla
011,l liter,vode z jušno kocko ali pa juhe
011,,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
011,1 dl,belega suhega vina
011,,rezine belega kruha popeèenega na maslu
011,10 dag,naribanega sira
012,1,veèja glava èesna
012,2 žlici,olivnega olja
012,1,"porovo steblo; narezano na rezine"
012,2,veèja mokasta krompirja
012,,šcepec kumine
012,,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
012,1 liter,juhe ali vode z jušno kocko
012,3 žlice,kisle smetane
012,2,rumenjaka
013,80 dag,"nemastnega govejega mesa (najbolje s križa živali);"
013,,Eno govejo kost
013,5,litrov vode
013,3,do 4 korenèke
013,nekaj,"<a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelene</a>"
013,,"korenino <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
013,malo,pora
013,,po želji tudi nekaj kolerabe
013,,rezina èebule
013,3,stroke èesna
013,,lovorjev list
013,,žafranika
014,5,"olupljenih paradižnikov; narezanih na košèke"
014,1,olupljena in narezana kumara
014,1,"manjša <a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelena</a> paprika; narezana na rezance"
014,1,manjša drobno sesekljana èebula
014,1 strok,strtega èesna
014,2 žlici,limoninega soka
014,2 žlici,olja
014,šèepec,pekoèe rdeèe paprike
014,5 dl,vode
014,,sol po okusu
015,300 g,marelic
015,1,feferon
015,400 g,korenja
015,1,limona
015,30 g,svežega ingverja
015,1 žlièka,rjavega sladkorja
015,4,cl sherryja
015,,sol
015,,"<a href=""https://www.kulinarika.net/recepti/zacimbe/10/bazilika/"">bazilika</a>"
015,400 ml,juhe (iz kocke) 
016,8,žabjih krakov (poleti uporabljamo le zamrznjene krake)
016,2 žlici,masla
016,1 žlica,moke
016,1 žlica,"drobno nasekljanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a> ali kreše"
016,1 strok,strtega èesna
016,šèepec,nastrganega muškatnega oreška
016,8 dl,"vode; v kateri se je kuhala zelenjava"
016,,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
017,6 dl,dobrega rdeèega vina
017,2 dl,vode
017,šèepec,"<a href=""https://www.kulinarika.net/recepti/zacimbe/16/cimet/"">cimeta</a>"
017,2,nageljnovi žbici
017,,limonina lupina
017,1 žlica,sladkorja
017,1 žlica,masla
017,1 žlica,moke
017,2,rumenjaka
017,,sol po okusu
018,4,"stebla pora; oprana in narezana na kolobarèke"
018,2,mladi èebuli narezani na kolobarèke
018,2 žlici,masla
018,8 dl,kokošje juhe iz kocke
018,4,"veèji krompirji; olupljeni in narezani na kocke"
018,1,skodela kisle smetane
018,1 žlica,nasekljanega drobnjaka
018,,"sol in beli <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
019,1 kg,teletine s kostjo
019,3l,vode
019,1,èebula narezana na èetrtine
019,4,stroki strtega èesna
019,nekaj,"zrn <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>"
019,,sol po okusu
019,,list lovorja
019,šèepec,timijana
019,l žlica,moke
019,3,"veèji krompirji; narezani na kose"
019,2 žlici,kisa
019,l žlica,kisle smetane
019,,po želji eno jajce
019,žlica,"drobno narezanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
020,30 dag,narezanega zelja
020,1,sesekljana èebula
020,30 dag,mehke govedine
020,1 liter,vode
020,1,"korenèek; narezan na kolobarje"
020,2 žlici,limoninega soka
020,1 žlica,rjavega sladkorja
020,1 žlica,moke
020,1 žlica,olja
020,1,jušna kocka
020,,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
021,1,manjša cvetaèa
021,1,drobno sesekljana èebula
021,1 strok,strtega èesna
021,1 žlica,masla
021,1l,kokošje juhe ali juhe iz kocke
021,2 žlici,sladke smetane
021,1 žlica,"drobno nasekljanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
021,2,"rezini popeèenega toasta; narezanega na kocke"
021,,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
022,30 dag,"buèk; olupljenih in narezanih na košèke"
022,1 žlica,olja
022,2,olupljena in narezana paradižnika
022,2,"papriki; narezani na rezine"
022,1,drobno sesekljana èebula
022,1 žlica,"drobno nasekljane <a href=""https://www.kulinarika.net/recepti/zacimbe/81/melisa/"">melise</a>"
022,1 žlica,"drobno nasekljanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
022,1,jajce
022,1 žlica,kisle smetane
022,1 žlica,kisa ali limoninega soka
022,1 l,vode ali juhe iz kocke
022,,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
023,60 dag,govejega boènika ali kakega drugega kosa mesa
023,30 dag,svinine / ni nujno /
023,30 dag,divjaèinskega mesa
023,4,"veèji èebuli; narezani na drobno"
023,2 stroka,strtega èesna
023,,o dag olupljenega in na veèje kose narezanega krompirja
023,1,feferon ali malo pekoèe paprike
023,1,"<a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zeleno</a> in 1 rdeèo papriko; narezano na rezine"
023,,po želji lahko nekaj narezanih gob
023,3 žlice,olja
023,,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
023,1 žlica,rdeèe paprike
023,,šcepec timijana
023,malo,pimenta
023,,list lovorja
023,,šcepec mlete kumine
023,3 dl,belega vina
024,40 dag,krompirja
024,20 dag,olupljenih èebulic
024,30 dag,"pora; narezanega na kolobarje"
024,30 dag,"<a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelene</a>; narezane na rezine (primernejša je stebelna <a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelena</a>)"
024,3 žlice,masla
024,3,lovorovi listi
024,1 žlica,timijana
024,50 dag,"pišèanèjih jeter; narezanih na košèke"
024,1 žlica,"drobno sesekljanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
024,2 litra,vode ali juhe
024,,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
025,20 dag,zmlete svinjine
025,1 žlica,sesekljane bele èebule
025,1 žlièka,pekoèe rdeèe paprike
025,1,"drobno narezana <a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelena</a> paprika"
025,1 žlica,masla
025,1 žlica,moke
025,8 dl,juhe iz kock
025,3,"sveži paradižniki ali paradižniki iz ploèevinke; olupljeni in narezani na košèke"
025,1,skodela kuhanega riža
025,,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
