id, [kolicina; sestavina]
001, [2; avokada; 4 dcl; moène jušne osnove ali vode z jušno kocko; 1 dl; dobro stepene smetane; 3 dl; jogurta; malo; nastrgane šalotke; 1 dl; paradižnikovega soka; ; "sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"; nekaj kapljic; "tabasko omake; èe želimo pekoèe"]
002, [30 dag; kumar; 1; skodela kisle smetane; 1; majhna nastrgana èebula; 1 strok; strtega èesna; 1 žlièka; belega vinskega kisa; 1; lonèek jogurta; 3 žlice; drobno sesekljanih orehov; ; sol po okusu; ; "beli <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"]
003, [1; zavitek tenkega vleèenega testa; ; ".5 kg zmletih orehov ali <a href=""https://www.kulinarika.net/recepti/zacimbe/39/mandelj/"">mandljev</a> ali lešnikov"; 1; skodela sladkorja; šèepec; "zmletih <a href=""https://www.kulinarika.net/recepti/zacimbe/87/nageljnove-zbice-klincki-/"">klinèkov</a>"; l žlièka; "<a href=""https://www.kulinarika.net/recepti/zacimbe/16/cimet/"">cimeta</a> v prahu"; 25 dag; stopljenega masla; ; <b>Sestavine za sirup:</b>; 5 dl; vode; 2; skodeli sladkorja; ; sok ene limone in nastrgana lupinica; 1 žlièka; ruma]
010, [30 dag; olupljenih in nastrganih mladih buèk; 1 žlica; drobno sesekljane èebule; 1 žlica; kuhanega masla; 1 žlica; moke; 4 dl; paradižnikovega soka; 5 dl; vode ali juhe iz kocke; 1 žlièka; drobno sesekljanega koprca; ; "sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"; ; kisla smetana po okusu]
011, [40 dag; "èebule; narezane na kolobarje"; 1 žlica; masla; l liter; vode z jušno kocko ali pa juhe; ; "sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"; 1 dl; belega suhega vina; ; rezine belega kruha popeèenega na maslu; 10 dag; naribanega sira]
012, [1; veèja glava èesna; 2 žlici; olivnega olja; 1; "porovo steblo; narezano na rezine"; 2; veèja mokasta krompirja; ; šcepec kumine; ; "sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"; 1 liter; juhe ali vode z jušno kocko; 3 žlice; kisle smetane; 2; rumenjaka]
013, [80 dag; "nemastnega govejega mesa (najbolje s križa živali);"; ; Eno govejo kost; 5; litrov vode; 3; do 4 korenèke; nekaj; "<a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelene</a>"; ; "korenino <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"; malo; pora; ; po želji tudi nekaj kolerabe; ; rezina èebule; 3; stroke èesna; ; lovorjev list; ; žafranika]
014, [5; "olupljenih paradižnikov; narezanih na košèke"; 1; olupljena in narezana kumara; 1; "manjša <a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelena</a> paprika; narezana na rezance"; 1; manjša drobno sesekljana èebula; 1 strok; strtega èesna; 2 žlici; limoninega soka; 2 žlici; olja; šèepec; pekoèe rdeèe paprike; 5 dl; vode; ; sol po okusu]
015, [300 g; marelic; 1; feferon; 400 g; korenja; 1; limona; 30 g; svežega ingverja; 1 žlièka; rjavega sladkorja; 4; cl sherryja; ; sol; ; "<a href=""https://www.kulinarika.net/recepti/zacimbe/10/bazilika/"">bazilika</a>"; 400 ml; juhe (iz kocke) ]
016, [8; žabjih krakov (poleti uporabljamo le zamrznjene krake); 2 žlici; masla; 1 žlica; moke; 1 žlica; "drobno nasekljanega <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a> ali kreše"; 1 strok; strtega èesna; šèepec; nastrganega muškatnega oreška; 8 dl; "vode; v kateri se je kuhala zelenjava"; ; "sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"]
