id,kolicina,sestavina
20002,1 kos,zamrznjenega listnatega testa
20002,,<b>Slaščičarska krema:</b>
20002,200 g,moke
20002,100 g,gustina
20002,350 g,sladkorja
20002,7,jajc
20002,"1;5 l ,mleka
20002,5 dl,sladke smetane
20002,,"sok <span class=""label-inline"">1"
20002,4 žlice,ruma
20002,1,"<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> sladkor"
20002,1,"zavitek burbonske <a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilije</a> (v prahu)"
20002,,sladkor v prahu za posip
20003,200 g,mehkih hrušk
20003,4 žlice,naribane temne čokolade
20003,30 g,polnozrnate moke
20003,200 g,bele moke
20003,2 žlički,pecilnega praška
20003,1 dl,riževega mleka
20003,20 g,"margarine + <span class=""label-inline"">20 g"
20003,3 žlice,kakava
20003,"2;5 žlici ,"ruma (brandy:...)"
20003,2,jajci
20003,140 g,sladkorja
20003,1/2 dl,olja
20004,,Biskvit; 2x
20004,6,"beljakov; <span class=""label-inline"">6"
20004,90 g,sladkorja
20004,45 g,ostre bele moke
20004,50 g,mletih popečenih pistacij (nesoljene)
20004,,naribana limonina lupinica
20004,,Za navlažitev; sok hruškovega kompota
20004,,<b>Hruškov nadev:</b>
20004,2 žlici,limoninega soka
20004,100 g,kisle smetane
20004,2 dl,sladke smetane
20004,4 žlice,sladkorja v prahu 
20004,6,lističev želatine
20004,,hruškov kompot (250 g hruške)
20004,,<b>Pistacijeva krema:</b>
20004,220 g,sira mascarpone
20004,"1;5 ,(2) čajni žlički pistacijeve arome 
20004,"1;5 dl ,sladke smetane
20004,5 žlic,sladkorja v prahu
20004,,(želatina v prahu po potrebi)
20004,,"Za okrasitev; poljubno; maslena krema"
20005,600 g,govejega mesa (pleče ali bočnik)
20005,,čista goveja juha ali voda
20005,300 g,rdeče čebule
20005,,olje
20005,,"sol in sveže mleti črni <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
20005,1,zvrhano polna jušna žlica rdeče mlete paprike
20005,1 dl,rdečega vina
20005,1,"pločevinka rdečega fižola (<span class=""label-inline"">400 g"
20005,1,"pločevinka koruze (<span class=""label-inline"">150 g"
20005,1,velik paradižnik
20005,1,posušeni chipotle čili
20005,2,posušena mulato čilija
20005,1,sveži jalapeno čili
20005,ščepec,mehiškega origana
20005,ščepec,posušenega timijana
20005,ščepec,kumina
20005,1,lovorjev list
20005,,kisla smetana
20005,,sveže peteršiljevo listje
20006,500 g,rumenega stročjega fižola
20006,1,čebula
20006,250 g,govejega mesa
20006,1,velik korenček
20006,1 strok,česna
20006,½,konzerve olupljenih paradižnikov
20006,1 l,jušne osnove
20006,1,čž sladke paprike
20006,ščepec,šetraja
20006,2,jž kisle smetane
20006,ščepec,"soli in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>"
20007,4,puranji zrezki
20007,2,jajci
20007,10,cm steblo pora
20007,,manjša paprika
20007,,"<a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilj</a>"
20007,dve žlici,olivnega olja
20007,,kruhove drobtine 
20007,,sol
20007,,"<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
20007,,rdeča paprika
20007,pest,parmezana
20008,500 g,makaronov
20008,,olivno olje
20008,1,čebula
20008,pol,rdeče sveže  paprike
20008,4,sveži paradižniki
20008,13,oliv 
20008,2,veliki konzervi tune
20008,"0;25 l ,rdečega vina ali vode (približno)
20008,,origano
20008,,timijan
20008,,sol
20009,1 kg,domače kisanega zelja (lahko tudi kupljeno)
20009,2-3,lovorjevi listi 
20009,1 čajna žlička,cele kumine 
20009,2-3,stroki strtega česna
20009,,"cel <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> "
20009,,sol 
20009,,ostra moka
20009,,voda 
20009,,olje 
20009,2,majhni čebuli
20009,,fižol iz konzerve
20010,,<b>Krhko testo:</b>
20010,250 g,moke (kombinacije pirine + bele ali ržene + bele)
20010,100 g,masla
20010,pol žličke,soli
20010,2,jajci
20010,,<b>Nadev:</b>
20010,1,velik por
20010,1/4,hokaido buče
20010,150 g,feta sira
20010,100 g,"skute z najmanj maščob (bolj tekoča; brez grudic)"
20010,3,jajca
20011,1 kg,jelenovega fileja 
20011,,olje
20011,3,čebule
20011,2,korenčka
20011,300 g,"<a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelene</a>"
20011,2 stroka,česna 
20011,1 žlica,sladkorja v prahu 
