id,[kolicina sestavina]
20002,[1 kos zamrznjenega listnatega testa;  <b>Slaščičarska krema:</b>; 200 g moke; 100 g gustina; 350 g sladkorja; 7 jajc; "1;5 l  mleka; 5 dl sladke smetane;  "sok <span class=""label-inline"">1"; 4 žlice ruma; 1 "<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> sladkor"; 1 "zavitek burbonske <a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilije</a> (v prahu)";  sladkor v prahu za posip]
20003,[200 g mehkih hrušk; 4 žlice naribane temne čokolade; 30 g polnozrnate moke; 200 g bele moke; 2 žlički pecilnega praška; 1 dl riževega mleka; 20 g "margarine + <span class=""label-inline"">20 g"; 3 žlice kakava; "2;5 žlici  "ruma (brandy:...)"; 2 jajci; 140 g sladkorja; 1/2 dl olja]
20004,[ Biskvit; 2x; 6 "beljakov; <span class=""label-inline"">6"; 90 g sladkorja; 45 g ostre bele moke; 50 g mletih popečenih pistacij (nesoljene);  naribana limonina lupinica;  Za navlažitev; sok hruškovega kompota;  <b>Hruškov nadev:</b>; 2 žlici limoninega soka; 100 g kisle smetane; 2 dl sladke smetane; 4 žlice sladkorja v prahu ; 6 lističev želatine;  hruškov kompot (250 g hruške);  <b>Pistacijeva krema:</b>; 220 g sira mascarpone; "1;5  (2) čajni žlički pistacijeve arome ; "1;5 dl  sladke smetane; 5 žlic sladkorja v prahu;  (želatina v prahu po potrebi);  "Za okrasitev; poljubno; maslena krema"]
20005,[600 g govejega mesa (pleče ali bočnik);  čista goveja juha ali voda; 300 g rdeče čebule;  olje;  "sol in sveže mleti črni <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"; 1 zvrhano polna jušna žlica rdeče mlete paprike; 1 dl rdečega vina; 1 "pločevinka rdečega fižola (<span class=""label-inline"">400 g"; 1 "pločevinka koruze (<span class=""label-inline"">150 g"; 1 velik paradižnik; 1 posušeni chipotle čili; 2 posušena mulato čilija; 1 sveži jalapeno čili; ščepec mehiškega origana; ščepec posušenega timijana; ščepec kumina; 1 lovorjev list;  kisla smetana;  sveže peteršiljevo listje]
20006,[500 g rumenega stročjega fižola; 1 čebula; 250 g govejega mesa; 1 velik korenček; 1 strok česna; ½ konzerve olupljenih paradižnikov; 1 l jušne osnove; 1 čž sladke paprike; ščepec šetraja; 2 jž kisle smetane; ščepec "soli in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>"]
20007,[4 puranji zrezki; 2 jajci; 10 cm steblo pora;  manjša paprika;  "<a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilj</a>"; dve žlici olivnega olja;  kruhove drobtine ;  sol;  "<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>";  rdeča paprika; pest parmezana]
20008,[500 g makaronov;  olivno olje; 1 čebula; pol rdeče sveže  paprike; 4 sveži paradižniki; 13 oliv ; 2 veliki konzervi tune; "0;25 l  rdečega vina ali vode (približno);  origano;  timijan;  sol]
20009,[1 kg domače kisanega zelja (lahko tudi kupljeno); 2-3 lovorjevi listi ; 1 čajna žlička cele kumine ; 2-3 stroki strtega česna;  "cel <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> ";  sol ;  ostra moka;  voda ;  olje ; 2 majhni čebuli;  fižol iz konzerve]
20010,[ <b>Krhko testo:</b>; 250 g moke (kombinacije pirine + bele ali ržene + bele); 100 g masla; pol žličke soli; 2 jajci;  <b>Nadev:</b>; 1 velik por; 1/4 hokaido buče; 150 g feta sira; 100 g "skute z najmanj maščob (bolj tekoča; brez grudic)"; 3 jajca]
20011,[1 kg jelenovega fileja ;  olje; 3 čebule; 2 korenčka; 300 g "<a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelene</a>"; 2 stroka česna ; 1 žlica sladkorja v prahu ; 1 žlica paradižnikove mezge ; 250 ml rdečega vina; 500 ml goveje juhe;  brinove jagode;  lovorjevi listi ; 2 žlici brusnične marmelade ;  sol;  "<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"]
