id,sestavina
001,avokada
001,moène jušne osnove ali vode z jušno kocko
001,dobro stepene smetane
001,jogurta
001,nastrgane šalotke
001,paradižnikovega soka
001,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
001,"tabasko omake; èe želimo pekoèe"
002,kumar
002,skodela kisle smetane
002,majhna nastrgana èebula
002,strtega èesna
002,belega vinskega kisa
002,lonèek jogurta
002,drobno sesekljanih orehov
002,sol po okusu
002,"beli <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
003,zavitek tenkega vleèenega testa
003,".5 kg zmletih orehov ali <a href=""https://www.kulinarika.net/recepti/zacimbe/39/mandelj/"">mandljev</a> ali lešnikov"
003,skodela sladkorja
003,"zmletih <a href=""https://www.kulinarika.net/recepti/zacimbe/87/nageljnove-zbice-klincki-/"">klinèkov</a>"
003,"<a href=""https://www.kulinarika.net/recepti/zacimbe/16/cimet/"">cimeta</a> v prahu"
003,stopljenega masla
003,<b>Sestavine za sirup:</b>
003,vode
003,skodeli sladkorja
003,sok ene limone in nastrgana lupinica
003,ruma
010,olupljenih in nastrganih mladih buèk
010,drobno sesekljane èebule
010,kuhanega masla
010,moke
010,paradižnikovega soka
010,vode ali juhe iz kocke
010,drobno sesekljanega koprca
010,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
010,kisla smetana po okusu
011,"èebule; narezane na kolobarje"
011,masla
011,vode z jušno kocko ali pa juhe
011,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
011,belega suhega vina
011,rezine belega kruha popeèenega na maslu
011,naribanega sira
012,veèja glava èesna
012,olivnega olja
012,"porovo steblo; narezano na rezine"
012,veèja mokasta krompirja
012,šcepec kumine
012,"sol in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> po okusu"
012,juhe ali vode z jušno kocko
012,kisle smetane
012,rumenjaka
013,"nemastnega govejega mesa (najbolje s križa živali);"
013,Eno govejo kost
013,litrov vode
013,do 4 korenèke
013,"<a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelene</a>"
013,"korenino <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"
013,pora
013,po želji tudi nekaj kolerabe
013,rezina èebule
013,stroke èesna
013,lovorjev list
013,žafranika
014,"olupljenih paradižnikov; narezanih na košèke"
014,olupljena in narezana kumara
014,"manjša <a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelena</a> paprika; narezana na rezance"
014,manjša drobno sesekljana èebula
014,strtega èesna
014,limoninega soka
014,olja
014,pekoèe rdeèe paprike
014,vode
014,sol po okusu
015,marelic
015,feferon
015,korenja
015,limona
015,svežega ingverja
015,rjavega sladkorja
015,cl sherryja
015,sol
