id,sestavina
20002,zamrznjenega listnatega testa; <b>Slaščičarska krema:</b>; moke; gustina; sladkorja; jajc; mleka; sladke smetane; "sok <span class=""label-inline"">1"; ruma; "<a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilijev</a> sladkor"; "zavitek burbonske <a href=""https://www.kulinarika.net/recepti/zacimbe/123/vanilija/"">vanilije</a> (v prahu)"; sladkor v prahu za posip
20003,mehkih hrušk; naribane temne čokolade; polnozrnate moke; bele moke; pecilnega praška; riževega mleka; "margarine + <span class=""label-inline"">20 g"; kakava; "ruma (brandy;...)"; jajci; sladkorja; olja
20004,Biskvit: 2x; "beljakov; <span class=""label-inline"">6"; sladkorja; ostre bele moke; mletih popečenih pistacij (nesoljene); naribana limonina lupinica; Za navlažitev: sok hruškovega kompota; <b>Hruškov nadev:</b>; limoninega soka; kisle smetane; sladke smetane; sladkorja v prahu ; lističev želatine; hruškov kompot (250 g hruške); <b>Pistacijeva krema:</b>; sira mascarpone; (2) čajni žlički pistacijeve arome ; sladke smetane; sladkorja v prahu; (želatina v prahu po potrebi); "Za okrasitev: poljubno; maslena krema"
20005,govejega mesa (pleče ali bočnik); čista goveja juha ali voda; rdeče čebule; olje; "sol in sveže mleti črni <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"; zvrhano polna jušna žlica rdeče mlete paprike; rdečega vina; "pločevinka rdečega fižola (<span class=""label-inline"">400 g"; "pločevinka koruze (<span class=""label-inline"">150 g"; velik paradižnik; posušeni chipotle čili; posušena mulato čilija; sveži jalapeno čili; mehiškega origana; posušenega timijana; kumina; lovorjev list; kisla smetana; sveže peteršiljevo listje
20006,rumenega stročjega fižola; čebula; govejega mesa; velik korenček; česna; konzerve olupljenih paradižnikov; jušne osnove; čž sladke paprike; šetraja; jž kisle smetane; "soli in <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>"
20007,puranji zrezki; jajci; cm steblo pora; manjša paprika; "<a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilj</a>"; olivnega olja; kruhove drobtine ; sol; "<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"; rdeča paprika; parmezana
20008,makaronov; olivno olje; čebula; rdeče sveže  paprike; sveži paradižniki; oliv ; veliki konzervi tune; rdečega vina ali vode (približno); origano; timijan; sol
20009,domače kisanega zelja (lahko tudi kupljeno); lovorjevi listi ; cele kumine ; stroki strtega česna; "cel <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a> "; sol ; ostra moka; voda ; olje ; majhni čebuli; fižol iz konzerve
20010,<b>Krhko testo:</b>; moke (kombinacije pirine + bele ali ržene + bele); masla; soli; jajci; <b>Nadev:</b>; velik por; hokaido buče; feta sira; "skute z najmanj maščob (bolj tekoča; brez grudic)"; jajca
20011,jelenovega fileja ; olje; čebule; korenčka; "<a href=""https://www.kulinarika.net/recepti/zacimbe/130/zelena/"">zelene</a>"; česna ; sladkorja v prahu ; paradižnikove mezge ; rdečega vina; goveje juhe; brinove jagode; lovorjevi listi ; brusnične marmelade ; sol; "<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"
20012,<b>Za peko brancina: </b>; očiščenega brancina ali tri kose ribe (riba mora biti sveža) ; grobe morske soli ; jajčni beljaki ; vejici rožmarina; <b>Za marinado: </b>; "šopek sveže <a href=""https://www.kulinarika.net/recepti/zacimbe/10/bazilika/"">bazilike</a> "; stroki česna ; jedilne žlice olivnega olja; <b>Sestavine za solato: </b>; srednje velikih krompirjev ; šopek divjih špargljev ; soli ; sladkorja ; košček masla ; olivno olje; limonin sok
20013,<b>Za pripravo testa:</b>; pšenične moke ; bio masla ; soli; več kot 1 dl vode (1/8 l) ; <b>Za nadev:</b>; mlade bučke ; krompirja ; čebula ; stroki česna ; "<a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilj</a>"; sol ; "<a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">poper</a>"; nepasirane skute ; jedilni žlici kisle smetane; jedilna žlica olivnega olja ; jedilne žlice pšeničnega zdroba; <b>Sestavina za premaz:</b>; jajce
20014,JŽ olivega olja; šalotke; srednje veliki krompirji; svinjska kotleta; večji korenček; zrna česna; JŽ paradižnikove mezge; "ali 2 <a href=""https://www.kulinarika.net/recepti/zacimbe/101/poper/"">popra</a>"; soli; grobo nasekljanega timijana; ČŽ mletega ingverja; "vejice <a href=""https://www.kulinarika.net/recepti/zacimbe/99/petersilj/"">peteršilja</a>"; listič luštreka; kisla smetana ali grški jogurt
