id,ime_recepta,ime_uporabnika,vrsta_jedi,dan,mesec,leto,cas_priprave,tezavnost
20002,Kremšnita a la Ines,tija87,sladice: torte,1,10,2014,120 minut,4
20003,Hruškočoki,jančibake,sladice: pecivo,1,10,2014,45 minut,2
20004,Torta pistacija - hruška,jančibake,sladice: torte,1,10,2014,90 minut,3
20005,Goveja enolončnica s fižolom in mulato čilijem,sarabande,enolončnice,2,10,2014,120 minut,2
20006,Boranja »ala fasulas«,fasulas,enolončnice,3,10,2014,90 minut,1
20007,Hitri puranji polpeti,Valchxy,mesne jedi: perutnina,3,10,2014,30 minut,2
20008,Makaroni s tuno in olivami,tija87,testenine,4,10,2014,45 minut,2
20009,"Štajersko ""tenstano"" kislo zelje ,tyros,prikuhe,6,10,2014,90 minut,2
20010,Pita s porom in hokaido bučo,aryy,zelenjavne jedi,6,10,2014,60 minut,2
20011,Jelenja pečenka,JelkaF,mesne jedi: divjačina,6,10,2014,150 minut,3
20012,Brancin v soli malo drugače,April is cooking,morska hrana: ribe,7,10,2014,90 minut,2
20013,Enostavno listnato testo,April is cooking,zelenjavne jedi,7,10,2014,90 minut,3
20014,Juha "Včeraj smo imeli piknik" ,abaximan,juhe in zakuhe: ostale juhe,8,10,2014,45 minut,3
20015,Svinjska ribica z jabolčno - parmezanovo sredico,anamarija1,mesne jedi: svinjina,8,10,2014,45 minut,1
20016,Oslič na lešo s paradižnikovo "šalšo" ,Levinjav,morska hrana: ribe,9,10,2014,75 minut,2
20017,Krompirjevo - koruzna enolončnica z žličniki,Levinjav,enolončnice,9,10,2014,45 minut,2
20018,Sipa na način lene gospodinje,Levinjav,morska hrana: ostalo,7,10,2014,45 minut,1
20019,"Koroški" žganci ,Levinjav,priloge: ostalo,8,10,2014,15 minut,1
20020,Pereci,metuljcica23,kruh,10,10,2014,150 minut,3
20021,Kremna brokolijeva juha s slanimi hrustljavčki,sarabande,juhe in zakuhe: zelenjavne juhe,10,10,2014,60 minut,1
20022,"Kumaričin "zos" ,anci1234,enolončnice,10,10,2014,15 minut,1
20023,Zdravo sladkanje,aryy,sladice: pecivo,11,10,2014,60 minut,2
20024,Mačje oči,ssilva,sladice: pecivo,11,10,2014,120 minut,3
20025,Polpeti iz ohrovta,goga,zelenjavne jedi,13,10,2014,60 minut,1
20026,Jabolčna pita,mdominko,sladice: pecivo,13,10,2014,60 minut,3
