id,vrsta_jedi
20002,sladice: torte
20003,sladice: pecivo
20004,sladice: torte
20005,enolončnice
20006,enolončnice
20007,mesne jedi: perutnina
20008,testenine
20009,prikuhe
20010,zelenjavne jedi
20011,mesne jedi: divjačina
20012,morska hrana: ribe
20013,zelenjavne jedi
20014,juhe in zakuhe: ostale juhe
20015,mesne jedi: svinjina
20016,morska hrana: ribe
20017,enolončnice
20018,morska hrana: ostalo
20019,priloge: ostalo
20020,kruh
20021,juhe in zakuhe: zelenjavne juhe
20022,enolončnice
20023,sladice: pecivo
20024,sladice: pecivo
20025,zelenjavne jedi
20026,sladice: pecivo
20027,enolončnice
20028,juhe in zakuhe: ostale juhe
20029,sladice: piškoti
20030,zelenjavne jedi
20031,mesne jedi: perutnina
20032,sladice: piškoti
20033,sladice: torte
20034,sladice: piškoti
20035,mesne jedi: sesekljano meso
20036,sladice: potice
20037,ozimnica: sladki shranki
20038,sladice: piškoti
20039,sladice: pecivo
20040,sladice: pecivo
20041,predjedi: namazi
20043,testenine
20044,sladice: torte
20045,priloge: krompir
20046,sladice: pecivo
20047,sladice: torte
20048,priloge: ostalo
20049,priloge: krompir
20051,kruh
20052,priloge: cmoki
20053,kruh
20054,mesne jedi: govedina
20055,morska hrana: ribe
20056,sladice: pudingi
20057,sladice: torte
20058,ozimnica: ostalo
20059,ozimnica: ostalo
20060,sladice: piškoti
20061,sladice: pecivo
20062,sladice: torte
20063,sladice: pecivo
20064,sladice: pecivo
20065,zelenjavne jedi
20066,napitki: alkoholni
20067,sladice: torte
20068,predjedi: tople
20069,kruh
20070,otroška hrana: otroci
20071,sladice: pecivo
20072,sladice: ostalo
20073,sladice: torte
20074,mesne jedi: sesekljano meso
20075,testenine
20076,kruh
20077,zelenjavne jedi
20078,testenine
20079,ozimnica: pijače
20080,sladice: pecivo
20081,sladice: ostalo
20082,morska hrana: ribe
20083,mesne jedi: sesekljano meso
20084,mesne jedi: sesekljano meso
20085,sladice: pecivo
20086,juhe in zakuhe: zelenjavne juhe
20087,sladice: ostalo
