dan,mesec,leto
16,6,1998
16,6,1998
7,7,2000
16,6,1998
4,9,2000
19,7,2000
16,6,1998
19,7,1999
7,7,1998
29,6,1998
24,2,1999
19,7,1999
13,5,1999
16,6,1998
16,6,1998
19,6,1999
11,4,1999
24,2,1999
16,6,1998
25,10,2000
24,12,1999
30,10,1999
26,6,1998
20,12,1999
5,8,1998
17,1,2000
13,4,1999
22,11,1998
26,4,1999
17,3,1999
17,5,1998
20,12,1997
3,12,1998
13,4,1999
27,12,1999
24,6,1999
28,12,1998
16,2,2000
3,3,1999
7,8,2000
3,3,1999
27,9,1999
27,12,1999
3,3,1999
30,3,1999
20,12,1997
12,12,1999
3,3,1999
1,7,1999
17,2,2000
24,12,1999
16,5,1999
15,5,2000
13,11,1998
2,11,1999
26,6,1998
13,3,2000
2,10,2000
24,12,1999
15,5,2000
29,12,1998
28,12,1999
7,6,1999
1,9,1999
24,12,1999
22,4,1998
26,6,1998
24,12,1999
28,12,1999
6,11,1999
1,2,2000
3,5,2000
22,11,1998
25,1,1999
11,7,2000
20,12,1997
22,11,1999
2,6,2000
24,9,1998
22,4,1998
29,12,1998
24,1,2000
17,3,1999
26,6,1998
14,12,1998
26,9,2000
18,12,1998
25,1,1999
26,7,1999
16,6,1998
11,10,1999
16,6,1998
16,6,1998
26,7,1999
20,12,1997
30,1,1999
30,1,1999
21,10,1999
30,3,1999
21,6,2000
1,12,1998
2,10,2000
22,3,1999
11,8,1999
1,12,1998
11,10,1999
13,10,1998
21,2,2000
30,1,1999
27,1,1999
22,4,1998
27,12,1999
22,11,1999
11,10,1999
27,1,1999
23,11,1998
3,12,1998
5,9,1999
7,8,2000
22,10,2000
1,12,1998
24,1,2000
26,6,1998
19,4,2000
24,11,1998
29,12,1998
26,6,1998
2,11,1999
9,1,1998
24,6,1999
22,4,1998
5,4,1998
24,9,1998
21,9,2000
26,9,2000
22,2,1999
21,3,2000
5,2,2000
6,11,1999
16,7,1998
25,1,1999
25,1,1999
1,7,1999
26,6,1998
26,6,1998
3,7,1998
25,10,2000
29,11,1999
26,4,1999
30,3,1999
26,4,1999
27,1,2000
2,11,1999
17,3,1999
27,1,2000
22,4,1998
7,7,1998
11,7,2000
22,4,1998
10,6,1999
29,12,1998
1,9,1999
26,4,1999
11,8,1999
8,2,1999
10,6,1999
22,11,1998
19,4,2000
11,7,2000
7,6,1999
12,3,1998
1,8,2000
15,2,2000
22,11,1999
20,7,2000
27,12,1999
19,6,1999
26,1,1999
13,3,2000
7,7,1998
1,7,1999
29,6,1998
26,11,1998
21,2,2000
3,5,2000
11,10,2000
28,12,1998
6,11,1999
5,4,2000
15,3,2000
26,7,1999
14,1,1998
29,6,1998
22,4,1998
16,9,1999
21,3,2000
11,8,1999
16,9,1999
29,6,1998
22,4,1998
16,9,1999
16,9,1999
29,6,1998
7,7,1998
7,7,1998
27,12,1999
13,11,1998
1,9,1998
6,4,1998
22,7,1999
20,12,1997
28,12,1999
26,7,1999
1,9,1998
1,12,1998
20,12,1997
26,6,1998
25,12,1998
22,7,1999
7,8,2000
5,7,2000
22,11,1998
17,5,1998
20,12,1997
24,1,1999
15,4,1999
15,4,1999
17,1,2000
5,9,1999
17,1,2000
13,1,1998
20,12,1997
20,12,1997
26,6,1998
14,2,1999
7,7,1998
7,7,1998
30,3,1999
25,1,1999
24,1,1999
17,1,2000
26,11,1998
1,8,2000
30,3,1999
19,7,1999
19,7,1999
19,6,1999
9,3,1999
20,12,1999
11,7,2000
7,6,1999
4,9,2000
5,8,1998
22,5,1998
22,5,1998
9,3,1999
23,11,1998
22,5,1998
15,3,2000
24,2,1999
22,5,1998
22,5,1998
17,3,1999
22,5,1998
6,4,2000
28,12,1998
20,12,1997
9,3,1999
9,3,1999
22,6,1998
23,12,1998
30,1,1999
22,6,1998
19,6,2000
10,8,1998
22,3,1999
22,2,1999
22,6,1998
29,12,1999
26,6,1998
6,11,1999
12,7,1999
3,5,2000
1,2,2000
1,2,2000
22,11,1998
26,10,1999
21,3,2000
29,3,2000
6,4,2000
29,12,1998
24,6,1999
16,6,1998
29,11,1999
29,11,1999
20,12,1999
20,7,2000
22,5,1998
24,2,1999
22,4,1998
28,8,1999
1,9,1998
21,9,2000
19,7,1999
24,2,1999
17,2,2000
22,6,1998
21,12,1998
23,11,1998
21,12,1998
1,12,1998
13,10,1999
11,8,1999
30,10,1999
14,11,1999
25,12,1998
26,1,1998
16,6,1999
19,6,1999
22,11,1998
8,2,1999
13,10,1998
7,8,1998
21,12,1998
5,3,2000
22,6,1998
30,10,1999
1,2,2000
7,7,1998
26,10,1999
1,12,1998
27,1,1999
13,3,2000
15,3,2000
8,2,1999
24,1,2000
19,5,2000
24,11,1998
16,7,1998
21,12,1998
1,11,2000
29,12,1998
22,4,1998
18,6,1999
27,1,2000
11,7,2000
3,4,2000
29,11,1999
22,3,1999
24,11,1998
12,12,1999
7,8,1998
9,6,1999
29,12,1999
28,8,1999
7,1,1998
14,11,1999
1,2,2000
5,4,2000
29,11,1999
24,12,1999
29,12,1999
12,7,1999
21,12,1998
22,7,1999
6,4,2000
26,6,1998
21,6,2000
7,8,2000
8,2,1999
6,4,2000
22,9,1999
30,10,1999
16,9,1999
2,6,2000
20,12,1997
29,11,1999
29,11,1999
29,12,1999
7,6,1999
19,4,1999
8,2,2000
