id,kolicina,sestavina
20002,1 kos,testo
20002,200 g,moka
20002,100 g,škrob
20002,350 g,sladkor
20002,7,jajca
20002,1;5 l,mleko
20002,5 dl,smetana
20002,4 žlice,rum
20002,1,sladkor
20002,1,vanilija
20003,200 g,hruška
20003,4 žlice,čokolada
20003,30 g,moka
20003,200 g,moka
20003,1 dl,mleko
20003,3 žlice,kakav
20003,2,jajca
20003,140 g,sladkor
20003,1/2 dl,olje
20004,90 g,sladkor
20004,45 g,moka
20004,50 g,[]
20004,,limona
20004,,[]
20004,,[]
20004,2 žlici,limona
20004,100 g,smetana
20004,2 dl,smetana
20004,4 žlice,sladkor
20004,6,želatina
20004,,[]
20004,,[]
20004,220 g,[]
20004,"1;5 ,[]
20004,"1;5 dl ,smetana
20004,5 žlic,sladkor
20004,,želatina
20004,,[]
20005,600 g,[]
20005,,[]
20005,300 g,čebula
20005,,olje
20005,,[]
20005,1,[]
20005,1 dl,vino
20005,1,[]
20005,1,[]
20005,1,paradižnik
20005,1,[]
20005,2,[]
20005,1,[]
20005,ščepec,origano
20005,ščepec,timijan
20005,ščepec,kumina
20005,1,lovorjev list
20005,,smetana
20005,,[]
20006,500 g,[]
20006,1,čebula
20006,250 g,[]
20006,1,korenje
20006,1 strok,česen
20006,½,paradižnik
20006,1 l,[]
20006,1,paprika
20006,ščepec,šetraj
20006,2,smetana
20006,ščepec,sol
20007,4,[]
20007,2,jajca
20007,10,[]
20007,,paprika
20007,,peteršilj
20007,dve žlici,olje
20007,,drobtine
20007,,sol
20007,,poper
20007,,paprika
20007,pest,sir
20008,500 g,testenine
20008,,olje
20008,1,čebula
20008,pol,paprika
20008,4,paradižnik
20008,13,olive
20008,2,ribe
