id,vrsta_jedi
001,juhe in zakuhe: hladne juhe
002,juhe in zakuhe: hladne juhe
003,sladice: ostalo
010,juhe in zakuhe: zelenjavne juhe
011,juhe in zakuhe: zelenjavne juhe
012,juhe in zakuhe: zelenjavne juhe
013,juhe in zakuhe: mesne juhe
014,juhe in zakuhe: hladne juhe
015,juhe in zakuhe: zelenjavne juhe
016,juhe in zakuhe: mesne juhe
017,juhe in zakuhe: ostale juhe
018,juhe in zakuhe: hladne juhe
019,juhe in zakuhe: mesne juhe
020,juhe in zakuhe: mesne juhe
021,juhe in zakuhe: ostale juhe
022,enolonènice
023,enolonènice
024,enolonènice
025,juhe in zakuhe: ostale juhe
026,juhe in zakuhe: jušne zakuhe
027,predjedi: hladne
028,mesne jedi: mešano meso
029,predjedi: hladne
030,mesne jedi: sesekljano meso
031,mesne jedi: sesekljano meso
032,mesne jedi: govedina
033,mesne jedi: svinjina
034,mesne jedi: perutnina
035,mesne jedi: govedina
036,mesne jedi: govedina
037,mesne jedi: govedina
038,mesne jedi: govedina
039,mesne jedi: ostalo
040,predjedi: tople
041,predjedi: hladne
042,napitki: alkoholni
043,jajène jedi: ostalo
044,predjedi: hladne
045,jajène jedi: ostalo
046,predjedi: tople
047,predjedi: tople
048,zelenjavne jedi
049,sirove jedi
050,predjedi: hladne
052,predjedi: tople
053,predjedi: hladne
054,predjedi: tople
055,predjedi: hladne
056,predjedi: hladne
057,predjedi: hladne
058,predjedi: hladne
059,mesne jedi: sesekljano meso
060,mesne jedi: divjaèina
061,mesne jedi: perutnina
062,mesne jedi: perutnina
063,mesne jedi: divjaèina
064,mesne jedi: mešano meso
065,mesne jedi: sesekljano meso
066,mesne jedi: svinjina
067,mesne jedi: ostalo
068,mesne jedi: teletina
069,mesne jedi: teletina
070,jajène jedi: omlete
071,predjedi: tople
072,mesne jedi: ostalo
073,mesne jedi: drobnica
074,mesne jedi: ostalo
075,mesne jedi: perutnina
076,mesne jedi: teletina
077,mesne jedi: perutnina
078,mesne jedi: perutnina
079,mesne jedi: perutnina
080,mesne jedi: svinjina
